x_pv_1,x_pv_2,epsilon,pm_theo,pm_empirical,sw_theo,sw_empirical,krr_theo,krr_empirical,exp_theo,exp_empirical,laplace_theo,laplace_empirical,gaussian_theo,gaussian_empirical
0.35,0.33,7,0.987117,0.994,0.939844,0.966,0.965180,0.980,0.960810,0.982,0.868231,0.878,0.298504,0.387
0.35,0.33,8,0.992176,0.995,0.947231,0.972,0.986410,0.991,0.973060,0.986,0.908215,0.915,0.353043,0.445
0.45,0.32,1,0.798875,0.773,0.790400,0.780,0.668933,0.639,0.706849,0.695,0.107641,0.171,0.012793,0.049
0.45,0.32,2,0.877953,0.876,0.856589,0.847,0.683334,0.666,0.748092,0.726,0.289362,0.322,0.044876,0.094
0.45,0.32,3,0.925954,0.921,0.894909,0.884,0.716818,0.703,0.786186,0.785,0.456163,0.467,0.088794,0.149
0.45,0.32,4,0.955081,0.954,0.918560,0.913,0.780042,0.766,0.820546,0.803,0.589288,0.567,0.139191,0.191
0.45,0.32,5,0.972752,0.971,0.934073,0.932,0.863117,0.857,0.850872,0.821,0.690527,0.675,0.192316,0.233
0.45,0.32,6,0.983472,0.982,0.944822,0.940,0.932459,0.927,0.877125,0.858,0.766252,0.750,0.245626,0.282
0.45,0.32,7,0.989975,0.991,0.952628,0.955,0.971586,0.972,0.899478,0.886,0.822699,0.804,0.297483,0.327
0.45,0.32,8,0.993919,0.996,0.958524,0.962,0.988964,0.991,0.918246,0.900,0.864872,0.835,0.346895,0.369
0.58,0.03,1,0.591336,0.587,0.595185,0.588,0.503448,0.516,0.530123,0.537,0.068739,0.118,0.009513,0.038
0.58,0.03,2,0.703088,0.710,0.738639,0.731,0.525045,0.538,0.562683,0.567,0.164364,0.210,0.032424,0.076
0.58,0.03,3,0.866742,0.837,0.842364,0.840,0.575262,0.600,0.592541,0.610,0.240040,0.264,0.061685,0.107
0.58,0.03,4,0.932621,0.931,0.877840,0.872,0.670084,0.667,0.619756,0.629,0.296585,0.311,0.092473,0.139
0.58,0.03,5,0.959128,0.959,0.901110,0.896,0.794684,0.804,0.644486,0.662,0.340219,0.353,0.121980,0.172
0.58,0.03,6,0.975208,0.975,0.917233,0.917,0.898691,0.897,0.666924,0.686,0.375583,0.380,0.148880,0.191
0.58,0.03,7,0.984963,0.986,0.928942,0.930,0.957380,0.959,0.687274,0.708,0.405536,0.410,0.172771,0.208
0.58,0.03,8,0.990879,0.992,0.937786,0.944,0.983447,0.983,0.705736,0.722,0.431790,0.427,0.193757,0.228
0.24,0.07,1,0.841280,0.856,0.834592,0.840,0.737074,0.770,0.799692,0.823,0.102426,0.179,0.013992,0.056
0.24,0.07,2,0.903686,0.917,0.886826,0.888,0.748512,0.781,0.851309,0.880,0.247992,0.319,0.047889,0.111
0.24,0.07,3,0.941566,0.946,0.917067,0.928,0.775106,0.796,0.888653,0.929,0.365560,0.436,0.091621,0.166
0.24,0.07,4,0.964552,0.967,0.935731,0.937,0.825319,0.852,0.914430,0.950,0.454372,0.502,0.138208,0.212
0.24,0.07,5,0.978497,0.980,0.947974,0.952,0.891296,0.897,0.931648,0.976,0.522711,0.565,0.183453,0.261
0.24,0.07,6,0.986957,0.986,0.956456,0.963,0.946364,0.956,0.942932,0.979,0.577139,0.613,0.225227,0.293
0.24,0.07,7,0.992089,0.994,0.962616,0.969,0.977436,0.983,0.950291,0.990,0.621864,0.642,0.262753,0.334
0.24,0.07,8,0.995201,0.997,0.967269,0.973,0.991236,0.989,0.955143,0.994,0.659515,0.692,0.296021,0.361
0.45,0.79,1,0.742459,0.708,0.752676,0.731,0.620261,0.609,0.657390,0.656,0.094798,0.153,0.011723,0.046
0.45,0.79,2,0.858102,0.850,0.833263,0.817,0.636778,0.636,0.698889,0.683,0.248803,0.293,0.040782,0.091
0.45,0.79,3,0.913910,0.913,0.877816,0.861,0.675184,0.673,0.737586,0.717,0.388652,0.410,0.079784,0.136
0.45,0.79,4,0.947775,0.950,0.905314,0.908,0.747701,0.741,0.773010,0.748,0.502692,0.517,0.123465,0.176
0.45,0.79,5,0.968320,0.965,0.923350,0.920,0.842990,0.832,0.804915,0.786,0.593660,0.584,0.168322,0.219
0.45,0.79,6,0.980784,0.980,0.935847,0.932,0.922528,0.917,0.833246,0.795,0.666364,0.644,0.212194,0.253
0.45,0.79,7,0.988345,0.988,0.944923,0.946,0.967408,0.969,0.858099,0.834,0.724928,0.703,0.253879,0.284
0.45,0.79,8,0.992930,0.990,0.951778,0.950,0.987341,0.987,0.879678,0.845,0.772487,0.751,0.292816,0.325
0.24,0.27,1,0.871570,0.858,0.866158,0.862,0.785746,0.779,0.841684,0.850,0.120412,0.192,0.015043,0.057
0.24,0.27,2,0.922066,0.914,0.908424,0.895,0.795067,0.781,0.887547,0.897,0.311548,0.367,0.052407,0.113
0.24,0.27,3,0.952717,0.957,0.932894,0.927,0.816740,0.816,0.920996,0.931,0.478209,0.511,0.102707,0.168
0.24,0.27,4,0.971317,0.972,0.947996,0.943,0.857659,0.852,0.944451,0.956,0.606782,0.635,0.159205,0.231
0.24,0.27,5,0.982601,0.984,0.957902,0.955,0.911423,0.916,0.960508,0.969,0.702783,0.718,0.217332,0.275
0.24,0.27,6,0.989446,0.989,0.964766,0.962,0.956296,0.961,0.971397,0.983,0.774159,0.783,0.274179,0.329
0.24,0.27,7,0.993599,0.990,0.969750,0.971,0.981614,0.978,0.978809,0.990,0.827508,0.841,0.328056,0.380
